,username,description,date,time,following,followers,totaltweets,retweetcount,text,hashtags
0,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,13:40:15,3,8799,19474,0,"Mexico’s third-richest man Ricardo Salinas Pliego: ""I have 60% in  and  equities and then 40% in hard-asset stock""

Sentiment: Neutral

Mexico's third-richest man and a strong bitcoin...

Brief: https://t.co/zju72kUM6z
https://t.co/xm7NMLvs38","['Bitcoin', 'Bitcoin']"
1,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,08:20:22,3,8799,19474,3,"Ark CEO Cathie Wood Is As Bullish As Ever, Sees  Hitting $1 Million By 2030

Sentiment: Positive

Cathie Wood repeated her positive view on bitcoin this week at the Bitcoin 2022 conference in...

Brief: https://t.co/zju72kUM6z
https://t.co/QBxnbm5qZW",['Bitcoin']
2,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,06:30:36,3,8799,19474,0,"Crypto-Friendly Special Economic Zone in Honduras Adopts  as Legal Tender

Sentiment: Positive

A crypto-friendly special economic zone in Honduras has adopted bitcoin as legal tender, allowing...

Brief: https://t.co/zju72kUM6z
https://t.co/oTiyb4BtsZ",['Bitcoin']
3,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-09,02:20:18,3,8799,19474,2,"Total Value of  Market More Than Doubled in a Year, Shows No Sign of Slowing

Sentiment: Positive

So Morningstar's market cap estimate is based on the value of bitcoin and the 99 other biggest...

Brief: https://t.co/zju72kUM6z
https://t.co/YT7fPXYkL8",['Crypto']
4,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-06,22:30:16,3,8799,19474,0,"SEC Approves Teucrium's  Futures ETF

Sentiment: Positive

The SEC announced the approval Wednesday in a filing on its website, adding Teucrium to a host of other bitcoin futures ETF issuers....

Brief: https://t.co/zju72kCCSr
https://t.co/5I5CU6H0YF",['Bitcoin']
5,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-05,20:00:19,3,8799,19474,2,"Michael Saylor's MicroStrategy snaps up $190 million of bitcoin, lifting its stockpile to $6 billion

Sentiment: Positive

Brief: https://t.co/zju72kUM6z
https://t.co/2FbwQ6HluN",[]
6,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-05,11:10:15,3,8799,19474,2,"Germany shuts down Russian darknet marketplace Hydra; seizes bitcoins worth $25 million

Sentiment: Negative

German police said Tuesday they have shut down servers of the world's largest illegal darknet...

Brief: https://t.co/zju72kUM6z
https://t.co/67NVZYx6rl",[]
7,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-04,14:10:29,3,8800,19474,0,"A new stablecoin issuer is buying billions of dollars in bitcoin. What  investors need to know

Sentiment: Neutral

Brief: https://t.co/zju72kUM6z
https://t.co/DNlI484AqW",['Crypto']
8,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-03,22:40:13,3,8799,19474,0,"""I was excited by bitcoin, it seemed good,"" Reyes says. But few want to use it and half of El Salvador's six million people cannot, as they have no internet access

Sentiment: Neutral

Brief: https://t.co/zju72kUM6z
https://t.co/gxNY7lW8we",[]
9,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-03,16:00:17,3,8799,19474,0,"Now That Q1 Is Over, Is the Bull Market Back?

Sentiment: Positive

With the price of  finally trending up, the bitcoin options market saw open interest, the U.S. dollar amount allocated to...

Brief: https://t.co/zju72kCCSr
https://t.co/DWjSpQsqos",['Bitcoin']
