first,public,release
codenamed,Avalanche,Borealis
minimum,staking,time
various,system,resources
hundreds,of,millions
large,participant,set
key,economic,parameters
all,honest,users
long,network,partition
veriﬁable,random,function
completely,non-reversible,transactions
transaction,hash,merkle
merkle,tree,protocol
source,of,randomness
underlying,physical,device
realizing,oracle,functionality
resulting,functionally-signed,value
added,low-level,complexity
some,data,sources
on,internet,sites
