,username,description,date,time,following,followers,totaltweets,retweetcount,text,hashtags
0,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,17:30:16,3,8798,19477,0,"Bitcoin's 5-year returns outperform world's major indices average ROI by 1,645%

Sentiment: Positive

The growth of  in recent years is highlighted by the asset's significant return on investment...

Brief: 
",['Bitcoin']
1,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,17:00:13,3,8798,19477,0,"80% of Central Banks Are Preparing a CBDC. Facing This Danger,  Is Still Your Best Weapon. The threat is becoming clearer.

Sentiment: Positive

""CBDCs will facilitate more efficient, cheaper,...

Brief: 
",['Bitcoin']
2,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,16:00:26,3,8798,19477,1,"Peter Thiel calls Warren Buffett an enemy of  — and says the investor's criticism of crypto is weighing on its price

Sentiment: Negative

Peter Thiel: Warren Buffett's Crypto Criticism Weighs...

Brief: 
",['Bitcoin']
3,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,15:40:36,3,8798,19477,0,"LUNA ( TERRA ) UST Shopping again. This time over 175 Million $$$

Sentiment: Positive

Brief: 
",[]
4,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,13:40:17,3,8798,19477,0,"Luna Foundation Purchases 4,130  Bringing its Total to 39,897 BTC, worth 1,7 billion USD

Sentiment: Positive

The Luna Foundation has continued to stack Bitcoin purchasing an additional 4,130...

Brief: 
",['Bitcoin']
5,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,13:10:15,3,8798,19477,0,"Crypto isn’t just for bros: Meet the mothers entering the market who see  and NFTs as ways to build wealth for their families.

Sentiment: Positive

Most of the six mothers interviewed for this...

Brief: 
",['Bitcoin']
6,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,12:30:16,3,8798,19477,1,"Bitcoin is a Super Strong Investment, Says Tennis Champion Serena Williams

Sentiment: Positive

One of the most successful tennis players of all time - Serena Williams - teamed up with Block Inc's money...

Brief: 
",[]
7,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,11:30:14,3,8798,19477,0,"“I will not stop:” Jackson mayor responds to state bill blocking  options for city governments

Sentiment: Positive

Jackson City Mayor Scott Conger's plan to make Jackson the first city in...

Brief: 
",['Bitcoin']
8,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,10:20:19,3,8798,19477,1,"Mexico’s Third Richest Man Says No To Bonds, Yes To Bitcoin

Sentiment: Positive

60% To  During the Bitcoin conference that is being held in Miami, billionaire Ricardo Salinas made a shocking...

Brief: 
",['Bitcoin']
9,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-10,02:30:35,3,8798,19477,0,"Miami Mayor Outlines 'Vision for  America' — Says We Must Integrate $BTC Into Every Aspect of Society This Year

Sentiment: Neutral

The mayor of the U.S. city of Miami, Florida, has unveiled...

Brief: 
",['Bitcoin']
